id,latitude_deg,longitude_deg
06AZ,33.28580093,-111.7529984
06B,44.9070015,-68.80500031
06CA,34.87080002,-116.8339996
06CL,35.15719986,-118.2890015
06CO,37.38750076,-103.6910019
06FA,26.90839958,-80.3289032
06FD,28.64170074,-81.88500214
06FL,27.95339966,-82.8042984
06GA,33.7533989,-84.16210175
06I,38.4333992,-86.69110107
06IA,41.84140015,-91.83429718
06ID,43.46269989,-116.3590012
06IL,41.59949875,-88.86990356
06IN,39.28279877,-87.3035965
06IS,40.54639816,-91.27429962
06KS,37.69580078,-97.37249756
06KY,37.52590179,-83.34519958
06LA,29.84600067,-90.02780151
06LL,41.87360001,-88.49690247
06LS,30.70789909,-91.32019806
06MA,42.69060135,-71.60900116
06MD,39.29140091,-76.5463028
06MI,42.25109863,-84.3914032
06MN,47.65190125,-92.41670227
06MO,39.23059845,-94.80439758
06MT,48.55830002,-112.1090012
06N,41.43199921,-74.39160156
06NC,34.82749939,-78.93029785
06ND,46.74890137,-101.6689987
06NE,40.68000031,-95.86170197
06NH,42.92839813,-70.97309875
06NJ,39.95009995,-74.99960327
06NY,42.84280014,-76.44529724
06O1,41.1147995,-80.65699768
06OH,41.50979996,-80.59120178
06OI,39.73479843,-84.38220215
06OK,36.54169846,-94.83360291
06OR,45.46509933,-123.0800018
06PA,42.00839996,-78.25810242
06PN,40.382733,-76.772533
06PS,40.40230179,-79.9213028
06R,29.94190025,-96.24610138
06SN,37.58390045,-97.25309753
06TA,30.90850067,-97.11689758
06TE,30.31270027,-95.02690125
06TN,35.69729996,-86.95690155
06TS,32.12070084,-96.17910004
06TX,30.05760002,-95.81289673
06VA,38.24900055,-78.8553009
06WA,47.68629837,-117.197998
06WI,45.66270065,-92.45020294
06WN,46.92499924,-122.5530014
06XS,33.3246994,-97.04419708
06Y,45.83000183,-96.16059875
07AA,61.6959639,-149.9549028
07AL,31.12520027,-85.97910309
07AR,35.19449997,-92.80020142
07AZ,33.56669998,-112.0690002
07B,44.44800186,-68.56970215
07CA,35.13890076,-119.4509964
07CL,39.49769974,-121.7710037
07CO,39.2635994,-104.427002
07CT,41.45289993,-72.24960327
07D,43.0644989,-82.72380066
07FA,25.3253994,-80.27480316
